update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr
183,47972352,2340.1,21841,59.38,87.0,62.38,35.2,61.3,3.5,0.0,-0.0002,0.002,0.1822,0.0019,0.87,4e-05
184,48234496,2352.1,21832,59.32,85.0,62.32,35.2,61.3,3.6,0.0,-0.0002,0.002,0.1834,0.0019,0.865,3.9e-05
185,48496640,2364.0,21953,59.81,87.0,62.81,35.1,61.3,3.6,0.0,-0.0003,0.002,0.1813,0.0021,0.864,3.8e-05
186,48758784,2375.7,22419,58.8,91.0,61.8,35.1,61.3,3.6,0.0,-0.0003,0.002,0.1805,0.0019,0.864,3.6e-05
187,49020928,2387.6,22065,59.17,86.0,62.17,35.1,61.3,3.7,0.0,-0.0002,0.002,0.1793,0.002,0.868,3.5e-05
188,49283072,2399.6,21907,59.7,86.0,62.7,35.0,61.3,3.7,0.0,-0.0002,0.002,0.1779,0.0019,0.869,3.4e-05
189,49545216,2411.2,22560,57.48,85.0,60.48,35.0,61.3,3.7,0.0,-0.0003,0.002,0.1805,0.002,0.866,3.2e-05
190,49807360,2422.9,22392,61.17,87.0,64.17,35.0,61.3,3.7,0.0,-0.0003,0.002,0.1809,0.0022,0.869,3.1e-05
191,50069504,2435.1,21407,58.01,88.0,61.01,35.0,61.3,3.8,0.0,-0.0003,0.002,0.1807,0.0022,0.865,3e-05
192,50331648,2447.1,21963,58.09,83.0,61.09,35.0,61.3,3.8,0.0,-0.0003,0.002,0.1784,0.0023,0.868,2.8e-05
